publishedAt,authorDisplayName,textDisplay,sentiment,paslon
2024-11-20T17:25:02Z,@supriyanto-xd8jj,aja bersih dicela daerah,netral,0
2024-11-18T16:54:14Z,@paksudarsono5229,banyuwangi hadir bu,netral,0
2024-11-18T12:03:38Z,@taktuntung123,partai pengusung lawan partai pengusung partai pengusung yg menag ya sepeetinya yg menang yg partai pengusungya nih hehehe,netral,2
2024-11-17T14:45:20Z,@sultan2chanelkids871,no asing yg kenal bu risma bu khofifah no mengenal suka no orangnya lues,netral,1
2024-11-16T23:34:02Z,@sundaRaya-lc7he,merdeka persemakmuran,netral,0
2024-11-12T15:55:46Z,@dutafajar421,wayae bu risma tampil pokok e warga suroboyo ae wes paham karo kerjo e wonge gaatek ita disat set wat wet beres,netral,2
2024-11-12T03:37:23Z,@rasulmunir4826,bu risma is the best,netral,2
2024-11-12T03:20:49Z,@rasulmunir4826,beruntunglah masyarakat jatim dipimpin risma semoga kelak orang nomer republik tercinta,netral,2
2024-11-12T03:12:19Z,@rasulmunir4826,iri jawa timur memiliki risma wanita hebat semoga kedepannya pemimpin negara tercinta,netral,1
2024-11-11T08:31:40Z,@chenneltv125,serang,netral,0
2024-11-06T14:50:25Z,@QorinaAzza,a https amp lulusan smk kompetitif dunia kerja smk quot terpisah quot dunia industrinya kecepatan perkembangan teknologi inovasi industri berjalan smk semutakhir apapun program link and matchnya ngewes br br menyelesaikan bikin smk jurusan pastinya butuh sarana prasarana mending smk digabungkan langsung industrinya jenis perusahaan wajib program inkubasi inkubasi sertifikat setara ijazah smk contoh perusahaan bidang perhiasan jatim perusahaan perusahaan yg mandat kewenangan menerbitkan ijazah bidang perhiasan tercapai efisiensi sarpras kesesuaian kompetensi kebutuhan industri peserta inkubasi lulus disebar perusahaan terserap cari perusahaan perhiasan provinsi sebelah direkrut perusahaan asing br br efisien diterapkan,negatif,2
2024-11-04T15:45:45Z,@ARI-bn4mp,coment ahh br pemecah aj rame br menjabat tp bbrpa ad yg blm puas br yg udh tau kerja nyata nya perubahan wali kota br tau suara br tp yg calon cp yg menang semoga membawa jawa timur lbh aaminn br coment tp nonton bbrpa menit,netral,0
2024-11-03T01:51:34Z,@RobertWicaksono-e1q,pemimpin paslon yg terpilih milik surabaya paslon no yg salam br assalamualikum br salam damai sejahterah br shallom br omsuasti namubudaye br pemimpi yg cinta bhenikaan semoga bu risma pemimpin yg jujur cerdas yg cinta warga jawa timur,netral,2
2024-11-02T19:01:26Z,@ben9879,pemimpin ahok risma terbukti nyata jujur antikorupsi antipungli kerja cepat berani berantas mafia penguasa lahan gaya bicaranya yg keras milih calon yg santun lembek ya gitulah gambaran kualitaa pemilih indo giliran yg korupsi pungli kpk dilemahkan pungli polisi ga becus dsb,netral,1
2024-11-02T16:54:25Z,@BankMandiriSunsetRoad,yg kerja nyata ya bu risma,netral,2
2024-11-02T14:41:22Z,@AgusSetiawan-e2i,bu risma,netral,2
2024-11-02T09:14:50Z,@SARBINISARBINI-kh2wd,perubahan coblos no b luluk,netral,3
2024-11-02T02:54:14Z,@munawarqomar5240,khofifah mantab,netral,1
2024-11-02T02:01:00Z,@teguhwibowo1104,josss,netral,0
2024-11-02T01:56:26Z,@teguhwibowo1104,emak emak ciwik ciwik susah bantah,netral,0
2024-11-01T12:44:13Z,@abdullahcool9255,tetep khofifa aja,netral,0
2024-11-01T08:15:57Z,@PauluscaturMidianto,risma laaaah,netral,2
2024-11-01T07:33:56Z,@diantari3591,guru n bpk klu msk guru gajinya guru,netral,0
2024-11-01T05:27:58Z,@Vinodavidson,percaya barisan bu khofifah emil emil orang cerdas,negatif,1
2024-11-01T03:11:59Z,@oiandreas6205,milih po ae br milih moro quot d gledah mneh,netral,0
2024-11-01T03:07:33Z,@oiandreas6205,sampe bongko kluargaku bu risma,netral,2
2024-11-01T03:02:48Z,@oiandreas6205,nggedabrus ng jatim gk onok pengangguran nglamar ng pabrik ae angel bos paslon,netral,0
2024-11-01T02:52:38Z,@oiandreas6205,jathilan cagub jatim gk onok sg ruh,netral,0
2024-11-01T02:51:44Z,@oiandreas6205,reog udah level dunia boosss br karapan sapi dah level dunia,netral,0
2024-11-01T02:49:52Z,@oiandreas6205,paslon br paslon br paslon br putaran wat paslon br risma gus han,netral,2
2024-10-31T21:31:49Z,@oiandreas6205,ayo bu risma,netral,2
2024-10-31T20:05:50Z,@farhanfabregas8916,ayo bu risma risma terbukti menyala e,netral,2
2024-10-31T15:38:40Z,@arifazhar1268,dukung bu risma,netral,2
2024-10-31T02:38:47Z,@Endah_Masruroh,,netral,0
2024-10-30T15:36:06Z,@adhymuhammad4291,nek gak risma yoo oraaa,netral,2
2024-10-30T13:51:06Z,@lalaajanih,blitar bu risma,netral,2
2024-10-30T01:49:41Z,@nobaronline1024,ya pdi,positif,0
2024-10-30T01:44:56Z,@nobaronline1024,bu risma emosian,negatif,2
2024-10-29T17:48:13Z,@Alimarwin,,netral,0
2024-10-29T04:38:52Z,@bagussujiwo2605,bu risma,netral,2
2024-10-28T08:52:23Z,@uchamerdeka,ahh gw asli madura gw lulusan smk alham dulillah gak ngangur si lulus smk berani melangkah berani nekat norobos nerobos loker jurusannya alhamdulillah nembus nembus ajah tergantung niat usaha jiirrr gak lu sesuai rencana cong jurusannya tekat kemauan,netral,0
2024-10-28T07:53:18Z,@Al-Djokoan_Al-Hassani,ketua kpud jawa timur,netral,0
2024-10-28T07:49:35Z,@Al-Djokoan_Al-Hassani,hj tri rismaharini amp muhammad zahrul azhar asumta,netral,2
2024-10-28T07:16:08Z,@cakrozysbc5596,nadiyin gresik ttp bu risma,netral,2
2024-10-28T03:49:38Z,@cahyosusilo271,bu,netral,0
2024-10-28T02:58:17Z,@pltmgbelimbing9042,srikandi srikandi hebat negri bu kofifah periode,netral,0
2024-10-27T15:17:37Z,@ZulaikhahAzizah,semoga bu khofifah mas emil berkelanjutan,netral,1
2024-10-27T13:58:43Z,@MulyonoTelur,debat jatim polll bikin greget kalah jkt,netral,0
2024-10-27T09:50:37Z,@danidanikartim7868,bu risma,netral,2
2024-10-27T06:26:06Z,@natanadis,kota kediri gt gt gt gt gt gt bu risma,netral,2
2024-10-26T16:34:15Z,@QonitaAzzam2015,kader pmii ngefans buk risma beliau cocok memimpin negara,netral,2
2024-10-26T15:10:50Z,@harisfaizal8250,bu luluk wacana gratis seragam sekolah rakyat kalangan bikin,netral,3
2024-10-26T15:04:02Z,@harisfaizal8250,luluk cantik,positif,3
2024-10-26T12:40:16Z,@BagusKusuma-m8v,bu risma rakyat jatim,netral,2
2024-10-26T10:09:56Z,@sugengdaluh9781,bu risma nyai seppo karismatik,netral,2
2024-10-26T10:09:31Z,@sugengdaluh9781,bu luluk digembleng anies tata etika debat,netral,3
2024-10-26T06:34:46Z,@sugengdaluh9781,bu khofifah ngomongin indonesia emas banyuwangi jatim tambang emas yg disembunyikan publik br br sayang tambang dikelola perusahaan tiongkok,netral,1
2024-10-26T06:03:35Z,@boyeks.713,cagub niru program cagub mulu,netral,0
2024-10-25T23:03:05Z,@AldoBogreks_80,resik resik jawa timur wayae bu risma gubernur,netral,2
2024-10-25T17:21:03Z,@TONYPratondoAdi,pengan jatim maju pilih pemimpin yg pekerja keras amp resik wis gak abu abu gak korupsi dll br br vote bu risma,netral,2
2024-10-25T06:36:41Z,@coyafrianto,tetep tri risma panutan pilihankuh,netral,2
2024-10-25T06:36:29Z,@coyafrianto,tetep tri risma panutan pilihankuh,netral,2
2024-10-25T04:13:58Z,@Sasintiayu_,bu risma kerja nyata orangnya bijak memimpin,netral,2
2024-10-25T00:40:03Z,@sinyof123,bnyak omong kerja omong ndk bs kerja sih yakyakyak,netral,0
2024-10-24T23:26:29Z,@joker-xj2df,panggah pilih mak e arek arek berani jujur and turun lapangan perubahan mak e mak e mak e jawa timur,netral,0
2024-10-24T17:06:45Z,@nindasepty9446,love bu risma,netral,2
2024-10-24T15:18:32Z,@dja2_ng,jatim pilihannya bagus bagus yg menang terbaik pilihan rakyat jatim,netral,2
2024-10-24T11:18:31Z,@ahmadsubaidi2075,madura bu risma,netral,2
2024-10-23T22:02:31Z,@Rini03-73,bu khofifah,netral,1
2024-10-23T12:35:40Z,@devarahijabgrosir-6138,khofifah emil dardak semoga menang,netral,1
2024-10-26T13:52:04Z,@budiekapawitra9006,amin,netral,0
2024-10-23T09:15:01Z,@ahmadkbm9195,pilih yg pinter kerja bu risma bkan yg pinter ngomong,netral,2
2024-10-23T06:34:48Z,@FahmiAbror-j7w,bu risma,netral,2
2024-10-23T05:51:34Z,@intanayuna01,bu risma ga ragukan,netral,2
2024-10-22T23:06:16Z,@dedyahmad4796,bu risma,netral,2
2024-10-22T22:33:44Z,@oppomunawaraditya7256,bojonegoro bu rismaa,netral,2
2024-10-22T18:06:47Z,@FridaSchryn,mantap gubernur jatim,netral,3
2024-10-22T17:27:38Z,@witooke8653,pemikiranku beda aq senang calon yg diusung partai koalisi daerah dikelola dikuasai at parpol,netral,0
2024-10-22T16:42:06Z,@SanPak-r9b,bu,netral,0
2024-10-22T16:41:13Z,@SanPak-r9b,aq gk pilih no karna baalawi merajalela,netral,0
2024-10-22T15:46:35Z,@martuahutagaol1102,bu risma,netral,2
2024-10-22T15:34:19Z,@LiaLeo-f7w,ketar ketir kalo kalah yg pakai rompi orange dana hibah bekas buk risma bersih trasparan kalo yg awok awok kpk gledah kantor gub jatim apanya,netral,2
2024-10-22T11:06:03Z,@Momos-r5q,mantap bu risma pilihan ku,netral,2
2024-10-22T07:48:37Z,@abdulhamid1238,gas bu khofifah,netral,1
2024-10-22T03:50:08Z,@ctr716,bu risma the best,netral,2
2024-10-21T23:21:06Z,@partinipartini7131,risma tetep paĺèñg unggul tiďak terbanďìngi,netral,2
2024-10-21T18:10:56Z,@sanjanic,bu risma surabaya br khofifah gaada perubahan skip skip ga merakyat rugi pilih kofifa,netral,1
2024-10-21T17:37:19Z,@سيتيااا,risma good,netral,2
2024-10-21T17:34:30Z,@ardityafirman8480,bu risma,netral,2
2024-10-21T17:26:31Z,@RohmatjatiGumelar,bu risma perubahan gamau lanjutkan,netral,2
2024-10-21T17:26:00Z,@pakiszur6101,arek suroboyo bu risma all in,netral,2
2024-10-21T16:53:26Z,@SafangatPangat-x4b,klw pdip gk pilih,netral,0
2024-10-21T15:13:19Z,@arrohmahchanel2762,bu risma,netral,2
2024-10-21T14:52:18Z,@FERDYGIRINDRARAHARJO,insyaallah bu khofifah mas emil umur sehat,netral,1
2024-10-21T14:08:25Z,@bydisme2748,bu luluk gubernur,positif,3
2024-10-21T13:07:06Z,@HERWINSIDHARTA,kofifa menang uang kemajuan jatim kosong pengen ngerasain dipimpin risma gk uang suka rakyat,netral,2
2024-10-21T12:52:01Z,@partinipartini7131,semangat,netral,0
2024-10-21T08:19:42Z,@supriyadiaja9181,hati hati cagub tukang serang diminati pemilih,netral,1
2024-10-21T08:04:06Z,@anakkampung4669,bu risma aja,netral,2
2024-10-21T07:51:19Z,@aryasatya9169,semoga gk kecurangan bu risma mutlak byk yg pilih tulus hati utk rakyat menang quot,netral,2
2024-10-21T05:43:23Z,@ahmadasrorifa4438,ok,netral,0
2024-10-21T04:49:12Z,@Doni-jd7ix,kota angin nganjuk ladang br setuju br gubenur jatim br br risma,netral,2
2024-10-21T02:48:45Z,@redrose2988,bu risma gubernur surabaya aja gapapa br resik bahasa jawa bahasa jatim orang madura gk paham br br luluk khofifah bersaing gasssss,netral,1
2024-10-21T01:33:01Z,@hidayahnur_.,bu risma kejujuran nya,netral,2
2024-10-21T01:31:54Z,@hidayahnur_.,bu risma hebat menghilang ndholi,netral,2
2024-10-20T23:59:13Z,@MisbahImis-yr1yc,no,netral,0
2024-10-20T23:00:59Z,@ariparip5926,bu risma pandai bicara tpi pandai ikhlas hati,negatif,2
2024-10-20T15:01:48Z,@sulamgaslor9967,bu risma gas,positif,2
2024-10-20T14:20:45Z,@JareSinten,bu risma semagat,netral,2
2024-10-20T09:33:54Z,@bembemtoys,penonton nya norak,negatif,0
2024-10-20T09:32:44Z,@bembemtoys,suaranya emang gini hp gue,netral,0
2024-10-20T09:31:13Z,@aliabarokah1087,bangkalan menangkan bu luluk,netral,3
2024-10-20T05:44:49Z,@SupriAdi-hw3bm,contoh pemimpin yg tdk menjatuhkan mendukung,netral,0
2024-10-20T05:02:27Z,@ujhedini,gaspoll bu risma,netral,2
2024-10-20T01:56:35Z,@zunanheribudiyanto9819,mantap bu risma nilai nilai kebangsaan tergerus modernisasi mohon teori tindakan nyata,netral,2
2024-10-19T23:18:39Z,@syarifzuhri955,nya baguus layak jatim br br semoga allah memilih terbaik,netral,1
2024-10-19T22:31:19Z,@AliFarid-i1t,mbak luluk jooooz,netral,3
2024-10-19T22:29:30Z,@AliFarid-i1t,luluk the,positif,3
2024-10-19T22:28:30Z,@AliFarid-i1t,luluk the best,netral,3
2024-10-19T19:27:44Z,@m.farhanramdhoni4768,no menang,netral,0
2024-10-19T18:59:00Z,@Abdurrahman1976-g9b,debat presiden wakil presiden pa prabowo bicaranya cerdas dr calon dy d pilih rakyat krna bicaranya dr hati d rekayasa dr tertarik bu risma krna bicaranya iklas tulus hati d semoga bu risma menang,netral,2
2024-10-19T18:25:59Z,@Abdurrahman1976-g9b,surabaya malang kediri madura dll tlg lupa coblos no bu risma,netral,2
2024-10-19T18:03:37Z,@muniroioi17,mak,positif,0
2024-10-19T17:28:19Z,@agusrohman4779,bu luluk cerdas energik bu luluk jatim bravo bu,netral,3
2024-11-01T02:55:21Z,@oiandreas6205,abot persaingan paslon ro,netral,0
2024-10-19T16:59:30Z,@ArmandManila,luluk smart lugas semoga terpilih bu luluk,netral,3
2024-10-19T16:51:02Z,@WafieArraziv,kualitas publik speaking bu khofifah emang ga diragukan,netral,1
2024-10-26T13:52:53Z,@budiekapawitra9006,the best bu khofifa,netral,0
2024-11-02T01:32:25Z,@ervinaindriagni9875,sayangnya lomba publik speaking adu program,netral,0
2024-10-19T16:50:09Z,@PratamaAreihan,bu khofifah kerja nyata hasilnya nyata ga janji belaja,netral,1
2024-11-01T02:41:39Z,@oiandreas6205,opo hasike lamongan bojonegoro panggah ngunu ae,netral,0
2024-10-19T16:49:38Z,@Lazuardihidayat,anak muda dukung khofifah emil,netral,1
2024-10-19T16:42:58Z,@TonoTarmudji,mesti menang periode,negatif,0
2024-10-19T16:41:23Z,@Cahyowiraone,periodee,positif,0
2024-10-19T15:41:35Z,@widodowidodo8169,keluraga sidoarjo pilih mak rusma,netral,0
2024-10-19T15:41:20Z,@NachdyahDiva,emil karo khofifah iki pasangan apik kombinasi pengalaman lan semangat muda ngubah jawa timur,netral,1
2024-11-01T02:42:12Z,@oiandreas6205,ngubah dana hibah,positif,0
2024-11-01T03:34:54Z,@FarisJumadi,ngakakkkk opone sg berubah,netral,0
2024-10-19T15:37:38Z,@nachdyahdivamaghfirah1123,kolaborasi mas emil lan bu khofifah iki nggawe jawa timur maju lan sejahtera,netral,1
2024-11-01T02:42:40Z,@oiandreas6205,maju dana hibah e,netral,0
2024-10-19T15:11:32Z,@luviandriani1670,jalanya cik jawa timur,netral,0
2024-10-19T15:07:22Z,@Lilythaliaaaa,lawong emil karo risma wes setara,netral,1
2024-10-19T15:05:06Z,@azarinedaily9528,mbak luluk semoga gubernur,netral,3
2024-10-19T15:04:50Z,@YaraFaelynn,wakilnya keliatan oke mas emil aja,netral,1
2024-10-19T14:54:39Z,@alyandwafa841,lukman,netral,0
2024-10-19T14:37:28Z,@japaelss,rung wayae risma vs khofifah seh,netral,1
2024-10-19T14:34:24Z,@tanayaSaraswati,emil karo khofifah ae,positif,1
2024-10-19T14:33:55Z,@raufrauf9791,bu risma is the best,netral,2
2024-10-19T14:32:03Z,@yusepsep8053,sya orang lampung tpi skrng dimalang cuman dri dlu emg suka liat kepemimpinanya bu risma liat semyumnya bu risma seneng senyum yg ikhlas bismilah semoga bu risma menang,netral,2
2024-10-19T14:26:13Z,@sitiqurrotuayun6420,wakile sing oke wes mas,netral,0
2024-10-19T14:22:37Z,@DikcyGuppy34,bismillahirrahmanirrahim maju bu risma butuh yg memasyarakat bkn sblm pilihan turun masyarakat tp duduk gak turun masyarakat trimakasih maju bu risma seruduk aja yg mempersulit,netral,2
2024-10-19T14:21:29Z,@ademorissapribadi176,dr sllu ngeidolain bu khofifah krn ketegasan ny sukses sllu,netral,1
2024-10-19T14:21:20Z,@tomyanggriawan7534,mbak luluk cantik sekaliii,netral,3
2024-10-19T14:19:12Z,@sitiqurrotuayun6768,mas emil wes setara karo bu risma lohh,netral,1
2024-10-19T14:17:30Z,@marwanadi7223,gk milih liane milih kang emil wae ws kinerjane,netral,1
2024-10-19T18:56:23Z,@ryanastronout699,milenial job center ae gak arahe,netral,0
2024-10-19T14:15:37Z,@sitimarifah4005,mas emil wes setara karo bu risma bagosss,netral,1
2024-10-19T14:15:11Z,@NyedotBolo,mosok arek quot isih meragukan kang emil,netral,1
2024-10-19T18:59:00Z,@ryanastronout699,ragu janjine kate ubah jatim dadi sekelas belanda eh downgrade setara vrindavan,netral,0
2024-10-19T14:12:28Z,@ngaritbolo-f9t,bu risma cocok memimpin kota surabaya bu risma,netral,2
2024-10-19T14:10:39Z,@ririnfebriati7499,perasaan wakil seng cocok mas emil tok semangat mas,netral,1
2024-10-26T13:52:34Z,@budiekapawitra9006,amiiin doakan emil khofifah jatim is back,netral,1
2024-11-01T03:03:34Z,@oiandreas6205,wakil iku ban serep cak gk due kuasa,netral,0
2024-10-19T14:09:56Z,@BangkakSpt,bissmillah semoga pemimpin kota surabaya membawa perubahan kota surabaya,netral,0
2024-10-19T14:07:47Z,@muqimlaila,semangat bu risma jadikan kota surabaya,netral,2
2024-10-19T14:05:47Z,@ngaritbolo-f9t,coblos nomor memimpin kota surabaya maju,netral,0
2024-11-01T03:09:35Z,@oiandreas6205,nggedabrus dana hibah yak opo rek,netral,0
2024-10-19T12:53:21Z,@FitriSunarti-x9d,sidoarjo insaallah merisma sidoarjo memilih mata hati,netral,1
